episode,episode_steps,episode_reward,max_tile
1,1212,1328,128
2,1046,1348,128
3,688,704,64
4,724,1432,128
5,681,728,64
6,786,2024,256
7,876,3128,256
8,519,2156,128
9,350,1472,128
10,204,1176,128
11,476,1408,128
12,284,1104,128
13,175,1132,128
14,350,2700,256
15,352,1376,128
16,391,1436,128
17,166,1260,128
18,266,1044,128
19,139,1124,128
20,319,1684,128
21,346,2836,256
22,330,1436,128
23,243,1488,128
24,310,2556,256
25,97,664,64
26,155,1480,128
27,188,1568,128
28,174,1276,128
29,512,3288,256
30,150,1368,128
31,265,776,64
32,330,2100,128
33,303,2252,256
34,535,3136,256
35,170,1268,128
36,369,1860,128
37,240,1512,128
38,223,1500,128
39,423,2120,256
40,177,1260,128
41,393,2336,256
42,393,2788,256
43,381,2456,256
44,232,1820,128
45,101,660,64
46,115,820,64
47,475,4664,512
48,265,2344,256
49,249,2516,256
50,211,1320,128
51,381,2700,256
52,420,3080,256
53,378,2244,256
54,433,3020,256
55,183,640,64
56,244,2968,256
57,426,3124,256
58,344,2612,256
59,314,1604,128
60,336,2360,256
61,199,1492,128
62,214,2344,256
63,272,3004,256
64,166,1252,128
65,434,2964,256
66,193,1572,128
67,139,1268,64
68,447,2980,256
69,362,2992,256
70,275,2420,256
71,502,2360,256
72,412,3100,256
73,306,3148,256
74,146,1396,128
75,366,3084,256
76,274,2248,256
77,241,2824,256
78,469,5132,512
79,566,6260,512
80,413,4596,512
81,339,2536,256
82,259,2776,256
83,369,1288,128
84,241,1644,128
85,201,2236,256
86,657,5268,512
87,281,2792,256
88,222,988,64
89,254,2500,256
90,307,2400,256
91,442,3016,256
92,317,2772,256
93,271,1424,128
94,276,3100,256
95,213,1696,128
96,223,1396,128
97,162,1436,128
98,702,5560,512
99,416,2972,256
100,300,3004,256
101,180,2092,256
102,716,4888,512
103,484,3212,256
104,579,5244,512
105,292,3088,256
106,540,4704,512
107,260,2924,256
108,239,2828,256
109,259,2880,256
110,285,3092,256
111,311,2832,256
112,236,1392,128
113,159,1464,128
114,421,3148,256
115,330,3012,256
116,229,1400,128
117,269,2924,256
118,230,2356,256
119,369,1616,128
120,296,2996,256
121,327,3388,256
122,372,2828,256
123,560,6396,512
124,213,2244,256
125,206,2256,256
126,298,3136,256
127,325,3016,256
128,344,3296,256
129,210,2296,256
