episode,max_tile,episode_reward,episode_steps
1,128,1328,1212
2,128,1348,1046
3,64,704,688
4,128,1432,724
5,64,728,681
6,256,2024,786
7,256,3128,876
8,128,2156,519
9,128,1472,350
10,128,1176,204
11,128,1408,476
12,128,1104,284
13,128,1132,175
14,256,2700,350
15,128,1376,352
16,128,1436,391
17,128,1260,166
18,128,1044,266
19,128,1124,139
20,128,1684,319
21,256,2836,346
22,128,1436,330
23,128,1488,243
24,256,2556,310
25,64,664,97
26,128,1480,155
27,128,1568,188
28,128,1276,174
29,256,3288,512
30,128,1368,150
31,64,776,265
32,128,2100,330
33,256,2252,303
34,256,3136,535
35,128,1268,170
36,128,1860,369
37,128,1512,240
38,128,1500,223
39,256,2120,423
40,128,1260,177
41,256,2336,393
42,256,2788,393
43,256,2456,381
44,128,1820,232
45,64,660,101
46,64,820,115
47,512,4664,475
48,256,2344,265
49,256,2516,249
50,128,1320,211
51,256,2700,381
52,256,3080,420
53,256,2244,378
54,256,3020,433
55,64,640,183
56,256,2968,244
57,256,3124,426
58,256,2612,344
59,128,1604,314
60,256,2360,336
61,128,1492,199
62,256,2344,214
63,256,3004,272
64,128,1252,166
65,256,2964,434
66,128,1572,193
67,64,1268,139
68,256,2980,447
69,256,2992,362
70,256,2420,275
71,256,2360,502
72,256,3100,412
73,256,3148,306
74,128,1396,146
75,256,3084,366
76,256,2248,274
77,256,2824,241
78,512,5132,469
79,512,6260,566
80,512,4596,413
81,256,2536,339
82,256,2776,259
83,128,1288,369
84,128,1644,241
85,256,2236,201
86,512,5268,657
87,256,2792,281
88,64,988,222
89,256,2500,254
90,256,2400,307
91,256,3016,442
92,256,2772,317
93,128,1424,271
94,256,3100,276
95,128,1696,213
96,128,1396,223
97,128,1436,162
98,512,5560,702
99,256,2972,416
100,256,3004,300
101,256,2092,180
102,512,4888,716
103,256,3212,484
104,512,5244,579
105,256,3088,292
106,512,4704,540
107,256,2924,260
108,256,2828,239
109,256,2880,259
110,256,3092,285
111,256,2832,311
112,128,1392,236
113,128,1464,159
114,256,3148,421
115,256,3012,330
116,128,1400,229
117,256,2924,269
118,256,2356,230
119,128,1616,369
120,256,2996,296
121,256,3388,327
122,256,2828,372
123,512,6396,560
124,256,2244,213
125,256,2256,206
126,256,3136,298
127,256,3016,325
128,256,3296,344
129,256,2296,210
130,512,4500,349
131,256,3000,318
132,512,6608,646
133,256,2216,261
134,256,3252,373
135,256,3316,293
136,128,1160,133
137,256,3056,294
138,256,2996,320
139,256,3132,278
140,128,1288,146
141,256,3076,468
142,256,2508,356
143,128,1244,149
144,256,2304,244
145,128,1604,305
146,256,3088,417
147,512,4900,619
148,256,2692,289
149,256,2396,331
150,256,2788,291
151,128,1596,174
152,512,5048,631
153,256,3184,373
154,256,2976,281
155,128,1348,214
156,256,3656,374
157,256,3048,412
158,256,2728,258
159,256,2524,247
160,256,3048,517
161,128,1612,158
162,256,3056,336
163,256,2988,539
164,256,3664,457
165,256,3256,455
166,256,3008,327
167,256,2980,351
168,512,5612,737
169,128,1024,108
170,512,5308,400
171,256,2912,380
172,512,6200,533
173,128,1528,212
174,256,3136,429
175,256,2644,239
176,128,1608,167
177,128,1296,132
178,512,4880,378
179,512,5212,444
180,256,2556,256
181,256,2980,251
182,128,1796,247
183,256,3076,283
184,256,3008,317
185,256,3992,352
186,256,2332,205
187,512,5008,514
188,512,5244,733
189,128,1548,300
190,256,2332,204
191,128,2020,198
192,512,4956,436
193,128,1632,154
194,256,2940,280
195,512,4680,318
196,256,3140,441
197,256,2724,212
198,128,1408,145
